Assembly No,Assembly Name,Panchayat (मुख्य शहर/ गाँव),Booth No,Booth Name,Total voters,Male voters,Female voters
72,सिंहेश्वर,कन्हुआ गोढियारी,2,"मध्य विद्यालय कन्हुआ गोढियारी, दक्षिण भाग",969,514,455
72,सिंहेश्वर,दुलार,20,"मध्य विद्यालय, दुलार, पश्चिम भाग",952,467,485
72,सिंहेश्वर,विशनपुर,200,गुदर मध्य विद्यालय विशनपुर मध्य भाग पूरब,999,536,463
72,सिंहेश्वर,विशनपुर,201,"गुदर मध्य विद्यालय, विशनपुर दाँया भाग मध्य",912,493,419
72,सिंहेश्वर,विशनपुर,202,"गुदर मध्य विद्यालय, विशनपुर, बायां भाग उत्तर",940,464,476
72,सिंहेश्वर,टिकुलिया,203,"महावीर रानीपट्टी +2 विद्यालय, टिकुलिया, उत्तर भाग",1103,573,530
72,सिंहेश्वर,टिकुलिया,204,"महावीर रानीपट्टी +2 विद्यालय, टिकुलिया, मध्य भाग",1068,558,510
72,सिंहेश्वर,टिकुलिया,205,"महावीर रानीपट्टी +2 विद्यालय, टिकुलिया, दक्षिण भाग बायाँ",1039,531,508
72,सिंहेश्वर,विशनपुर सुन्दर,206,"उर्दू प्राथमिक विद्यालय, टिकुलिया",1017,532,485
72,सिंहेश्वर,पुरैनी,207,"उर्दू उत्क्रमित मध्य विद्यालय, पुरैनी, बायाँ भाग",788,461,327
72,सिंहेश्वर,पुरैनी,208,"उर्दू उत्क्रमित मध्य विद्यालय, पुरैनी, दायाँ भाग",950,489,461
72,सिंहेश्वर,पुरैनी,209,"उर्दू उत्क्रमित मध्य विद्यालय, पुरैनी, मध्य भाग",803,426,377
72,सिंहेश्वर,डंडारी,21,"मध्य विद्यालय, डंडारी, उतर भाग बाया",1157,604,553
72,सिंहेश्वर,पुरैनी,210,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, कररिया, बायाँ भाग पूरब",991,533,458
72,सिंहेश्वर,पुरैनी,211,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, कररिया, दायाँ भाग",1119,579,540
72,सिंहेश्वर,पुरैनी,212,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, कररिया, मध्य भाग",1126,578,548
72,सिंहेश्वर,पुरैनी,213,"उत्क्रमित उर्दू मध्य विद्यालय, शरहदगति, दायाँ भाग",805,439,366
72,सिंहेश्वर,सरहद गति,214,"उत्क्रमित उर्दू मध्य विद्यालय, शरहदगति, बायाँ भाग",960,494,466
72,सिंहेश्वर,सरहद गति,215,"मध्य विद्यालय, शरहद, दायाँ भाग",952,509,443
72,सिंहेश्वर,सरहद गति,216,"मध्य विद्यालय, शरहद, बायाँ भाग",947,494,453
72,सिंहेश्वर,रामनगर महेश,217,"उत्क्रमित उर्दू मध्य विद्यालय, पोखरिया दायाँ भाग",1087,583,504
72,सिंहेश्वर,चकला दातु सरदार,218,"उत्क्रमित उर्दू मध्य विद्यालय, पोखरिया बायाँ भाग",1276,659,617
72,सिंहेश्वर,रामनगर महेश,219,"रामकृष्ण मध्य विद्यालय, श्रीनगर पूरब भाग",1129,581,548
72,सिंहेश्वर,डंडारी,22,"मध्य विद्यालय, डंडारी, दक्षिण भाग बाया",1169,599,570
72,सिंहेश्वर,रामनगर महेश,220,"रामकृष्ण मध्य विद्यालय, श्रीनगर, पश्चिम भाग उत्तर",1019,533,486
72,सिंहेश्वर,रामनगर महेश,221,"मध्य विद्यालय, रामनगर महेश, उत्तर भाग बाया",845,461,384
72,सिंहेश्वर,रामनगर महेश,222,"मध्य विद्यालय, रामनगर महेश दक्षिण भाग दाया",838,451,387
72,सिंहेश्वर,रामनगर महेश,223,"मध्य विद्यालय, रामनगर महेश, उत्तर भाग मध्य",812,437,375
72,सिंहेश्वर,रामनगर महेश,224,"जवाहर उच्च विद्यालय, रामनगर बेला, दायाँ भाग",691,377,314
72,सिंहेश्वर,रामनगर महेश,225,"जवाहर उच्च विद्यालय, रामनगर बेला, बायाँ भाग",673,333,340
72,सिंहेश्वर,परमानन्दपुर,226,"उत्क्रमित उच्च विद्यालय, परमानंदपुर, दायाँ भाग पूरब",993,536,457
72,सिंहेश्वर,परमानन्दपुर,227,"उत्क्रमित उच्च विद्यालय, परमानंदपुर, बायाँ भाग",1081,561,520
72,सिंहेश्वर,परमानन्दपुर,228,"उत्क्रमित मध्य विद्यालय, बघमारा(बघवा) दायाँ भाग",1031,570,461
72,सिंहेश्वर,परमानन्दपुर,229,"उत्क्रमित मध्य विद्यालय, बघमारा (बघवा) बायाँ भाग",989,519,470
72,सिंहेश्वर,बैरबन्ना,23,"उत्क्रमित मध्य विद्यालय, बैरबन्ना, पश्चिम भाग बाया",972,517,455
72,सिंहेश्वर,परमानन्दपुर,230,"पंचायत भवन परमानंदपुर, बायां भाग उत्तर",747,384,363
72,सिंहेश्वर,परमानन्दपुर,231,"पंचायत भवन परमानंदपुर, बायां भाग दक्षिण",751,403,348
72,सिंहेश्वर,परमानन्दपुर,232,"पंचायत भवन, परमानंदपुर, दायां भाग पश्चिम",691,363,328
72,सिंहेश्वर,परमानन्दपुर,233,"पंचायत भवन, परमानंदपुर, दायां भाग पूरब",765,401,364
72,सिंहेश्वर,लक्ष्मीपुर भगवती,234,"उत्क्रमित उर्दू मध्य विद्यालय, चैनपुर, दायां भाग",959,483,476
72,सिंहेश्वर,लक्ष्मीपुर भगवती,235,"उत्क्रमित उर्दू मध्य विद्यालय, चैनपुर, बायां भाग",948,503,445
72,सिंहेश्वर,हनुमान नगर,236,"नवसृजित प्राथमिक विद्यालय, हनुमान नगर, भित्ता टोला उत्तर भाग",799,421,378
72,सिंहेश्वर,चैनपुर,237,"नवसृजित प्राथमिक विद्यालय, हनुमान नगर, भित्ता टोला दक्षिण",990,521,469
72,सिंहेश्वर,लक्ष्मीपुर भगवती,238,"उत्क्रमित उच्च विद्यालय, खुटहा रजई",776,407,369
72,सिंहेश्वर,कुमारखंड,239,"मध्य विद्यालय, लक्ष्मीपुर भगवती मिल्लिक, दांया भाग उत्तर",872,458,414
72,सिंहेश्वर,बैरबन्ना,24,"उत्क्रमित मध्य विद्यालय, बैरबन्ना पूरब भाग बाया",906,464,442
72,सिंहेश्वर,लक्ष्मीपुर भगवती,240,"मध्य विद्यालय, लक्ष्मीपुर भगवती मिल्लिक, मध्य भाग",964,503,461
72,सिंहेश्वर,लक्ष्मीपुर भगवती मिलिक,241,"मध्य विद्यालय, लक्ष्मीपुर भगवती मिलिक, बायाँ भाग दक्षिण",826,438,388
72,सिंहेश्वर,लक्ष्मीपुर भगवती,242,"मध्य विद्यालय, लक्ष्मीपुर भगवती मिल्लिक, दांया भाग दक्षिण",942,479,463
72,सिंहेश्वर,लक्ष्मीपुर भगवती,243,"स्त्री मध्य विद्यालय, लक्ष्मीपुर भगवती (पूर्व) पूरब",1070,533,537
